"","male","race_white","race_black","race_american_indian","race_asian_pacificislander","race_other","hispanic","grade","fam_income","fam_logincome","gen_health","close_to_people","part_of_school","students_prejudiced","happy_at_school","teachers_fair","school_feels_safe"
"3923",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,250000,12.4292201968364,"(1) (1) Excellent",3,2,2,1,2,1
"3924",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,85000,11.3504183001091,"(2) (2) Very good",2,2,3,3,2,2
"3925",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,57000,10.9508240905224,"(2) (2) Very good",1,1,5,1,2,1
"3926",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,24000,10.0858507751287,"(1) (1) Excellent",2,2,4,4,2,2
"3927",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,14000,9.54688403461792,"(1) (1) Excellent",1,1,5,2,1,1
"3928",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,10000,9.21044036697652,"(2) (2) Very good",4,2,4,3,1,2
"3929",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,15000,9.61587214452889,"(3) (3) Good",3,3,1,3,4,4
"3930",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,NA,NA,"(3) (3) Good",2,2,4,2,4,2
"3931",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,8000,8.98732181285012,"(4) (4) Fair",2,2,3,2,2,3
"3932",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,9000,9.10509096125709,"(1) (1) Excellent",2,2,5,1,2,2
"3933",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,"(2) (2) Very good",2,2,4,2,2,2
"3934",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,11000,9.30574145673943,"(1) (1) Excellent",4,2,5,1,2,1
"3935",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,50000,10.8197982842103,"(1) (1) Excellent",2,2,4,2,2,2
"3936",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,20000,9.90353755128617,"(2) (2) Very good",3,2,3,3,3,4
"3937",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,40000,10.5966597327836,"(2) (2) Very good",2,1,3,1,1,1
"3938",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,30000,10.3089859934221,"(2) (2) Very good",1,1,3,2,2,2
"3939",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,"(3) (3) Good",2,2,2,4,4,4
"3940",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,27000,10.2036291813376,"(4) (4) Fair",5,5,5,5,1,5
"3941",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,1e+05,11.5129354649202,"(2) (2) Very good",2,2,3,3,4,2
"3942",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,62000,11.0349057929294,"(2) (2) Very good",2,1,5,1,1,1
"3943",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7,15000,9.61587214452889,"(2) (2) Very good",2,2,5,3,1,2
"3944",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,105000,11.5617251529038,"(2) (2) Very good",2,3,4,2,3,2
