"male","race_white","race_black","race_american_indian","race_asian_pacificislander","race_other","hispanic","grade","fam_income","fam_logincome","ever_smoked","ever_alcohol","ever_marijuana","ever_cocaine","delinquency_agg"
1,1,0,0,0,0,0,10,35000,10.463131911492,0,0,0,0,7
1,1,0,0,0,0,0,11,49000,10.7995959850478,1,1,0,0,2
0,1,0,0,0,0,0,9,6000,8.69968140098951,1,1,1,0,7
0,0,1,0,0,0,0,NA,25000,10.1266711030504,0,0,0,0,0
0,0,1,0,0,0,0,NA,15000,9.61587214452889,0,0,0,0,0
1,1,0,0,0,0,0,8,NA,NA,1,0,0,0,2
0,1,0,0,0,0,0,10,NA,NA,0,0,0,0,0
0,1,0,0,0,0,0,8,31000,10.3417747410115,0,0,0,0,1
1,1,0,0,0,0,0,12,38000,10.5453677541517,0,0,0,0,1
1,1,0,0,0,0,0,11,18000,9.7981825908907,0,0,0,0,0
0,1,0,0,0,0,0,9,30000,10.3089859934221,0,0,0,0,0
1,1,0,0,0,0,0,7,18000,9.7981825908907,1,1,0,0,9
0,1,0,0,0,0,0,11,11000,9.30574145673943,1,0,0,0,4
1,0,1,0,0,0,0,11,35000,10.463131911492,0,0,0,0,2
1,0,1,0,0,0,0,11,20000,9.90353755128617,1,1,1,0,4
1,1,0,0,0,0,0,11,25000,10.1266711030504,0,0,0,0,2
0,0,1,0,0,0,0,12,25000,10.1266711030504,0,0,1,0,2
0,1,0,0,0,0,0,10,32000,10.3735224312936,1,1,0,0,2
1,1,0,0,0,0,1,9,40000,10.5966597327836,1,1,1,0,3
0,1,0,0,0,0,0,10,20000,9.90353755128617,0,1,0,0,1
1,0,1,0,0,0,0,9,40000,10.5966597327836,0,1,1,0,4
0,1,0,0,0,0,0,NA,4000,8.29429960885724,1,1,0,0,4
1,0,1,0,0,0,0,10,25000,10.1266711030504,1,1,1,0,8
0,0,1,0,0,0,0,10,20000,9.90353755128617,0,1,0,0,2
0,0,1,0,0,0,0,11,17000,9.74102744483773,0,1,1,0,5
1,0,1,1,0,0,0,9,22000,9.99884318585288,0,1,1,0,10
0,1,0,0,0,0,1,9,40000,10.5966597327836,1,1,0,0,0
0,1,0,0,0,0,0,9,43000,10.6689786502192,1,1,0,0,3
0,0,1,0,0,0,0,NA,35000,10.463131911492,1,0,0,0,0
0,1,0,0,0,0,0,9,1e+05,11.5129354649202,1,1,0,0,6
0,1,0,0,0,0,0,11,28000,10.2399955028053,1,1,1,1,0
1,0,1,0,0,0,0,9,NA,NA,0,0,0,0,1
1,0,1,0,0,0,0,10,60000,11.002116507732,1,1,1,0,10
1,1,0,0,0,0,0,9,40000,10.5966597327836,1,1,0,0,5
1,0,1,0,0,0,0,9,27000,10.2036291813376,1,0,1,0,3
0,1,1,0,0,0,1,11,6e+05,13.3046866008636,1,0,0,0,0
0,1,0,0,0,0,0,10,50000,10.8197982842103,1,1,1,0,3
1,1,0,0,0,0,0,9,NA,NA,0,0,0,0,0
0,0,0,0,0,1,1,12,15000,9.61587214452889,1,1,1,0,4
0,0,1,0,0,0,0,12,50000,10.8197982842103,0,0,0,0,2
0,0,1,0,0,0,0,9,40000,10.5966597327836,0,0,0,0,0
1,0,1,0,0,0,0,10,4000,8.29429960885724,1,1,0,0,1
0,1,0,0,0,0,0,10,50000,10.8197982842103,1,1,1,1,8
1,1,0,0,0,0,0,12,35000,10.463131911492,1,1,1,0,2
