"female","age","race","hispanic","education","income","log_income"
1,54,"Black/African American/Negro",0,"4+ years college",92000,11.4295438560312
1,72,"White",0,"4+ years college",17430,9.76594813851407
1,21,"White",1,"Some college",22000,9.99879773234045
0,59,"White",0,"HS",18500,9.82552601106642
0,40,"White",0,"4+ years college",60000,11.0020998412042
0,64,"White",0,"HS",24000,10.0858091093301
0,61,"White",0,"HS",9200,9.12695876303713
0,49,"White",0,"Some college",40000,10.5966347330961
1,40,"White",0,"Some college",33900,10.4311702933685
1,56,"White",0,"Some college",83900,11.3373808924553
1,70,"White",0,"HS",17700,9.78131991856192
0,53,"White",0,"4+ years college",170120,12.0442593493676
1,58,"White",0,"Some college",39800,10.5916221912725
1,22,"White",1,"Some college",28000,10.2399597891573
0,52,"White",0,"HS",100000,11.5129254649702
0,41,"Black/African American/Negro",0,"HS",14000,9.5468126085974
0,40,"White",0,"4+ years college",60000,11.0020998412042
0,69,"White",0,"4+ years college",19200,9.86266555801587
1,55,"White",0,"HS",40000,10.5966347330961
1,77,"Other race, nec",1,"Some college",14100,9.55393007636626
0,65,"White",0,"4+ years college",69600,11.1505198463225
0,49,"White",0,"Some college",90000,11.4075649493124
1,34,"White",0,"Some college",13700,9.52515111181622
0,19,"Black/African American/Negro",0,"HS",18000,9.7981270368783
0,24,"White",0,"HS",31000,10.3417424834673
1,52,"Other race, nec",1,"HS",27300,10.2146419811731
1,15,"White",0,"Some HS",1000,6.90775527898214
0,49,"White",0,"HS",11400,9.34136863438259
0,50,"White",1,"Some college",92000,11.4295438560312
1,79,"White",0,"HS",91500,11.4240942512636
0,25,"White",0,"No HS",13300,9.49551931420985
1,55,"White",0,"HS",4000,8.29404964010203
1,42,"White",0,"HS",50000,10.8197782844103
0,64,"Other race, nec",1,"HS",80000,11.289781913656
0,72,"White",0,"HS",1500,7.3132203870903
1,57,"White",0,"HS",5000,8.51719319141624
0,41,"White",0,"HS",52000,10.8589989975636
0,60,"White",0,"HS",8800,9.0825070004663
1,54,"White",0,"4+ years college",327000,12.6977154498794
1,62,"White",0,"HS",35000,10.4631033404715
0,33,"Other race, nec",1,"HS",95700,11.468973577441
0,39,"White",0,"4+ years college",78000,11.2644641056717
0,21,"White",0,"Some college",25000,10.1266311038503
0,43,"Other Asian or Pacific Islander",0,"4+ years college",166400,12.0221498073692
1,20,"White",0,"Some college",5000,8.51719319141624
1,35,"White",0,"Some HS",50000,10.8197782844103
1,65,"Other Asian or Pacific Islander",0,"4+ years college",29200,10.2819239882564
1,75,"White",0,"HS",9600,9.16951837745593
1,19,"White",0,"Some college",2300,7.74066440191724
0,43,"White",0,"Some college",831000,13.6303850738376
0,64,"White",0,"Some college",21000,9.95227771670556
1,74,"White",1,"No HS",10300,9.23989917421773
0,76,"White",0,"4+ years college",99000,11.5028751291167
0,51,"Black/African American/Negro",0,"4+ years college",55000,10.9150884642146
0,31,"Black/African American/Negro",0,"Some college",30000,10.3089526606443
1,76,"White",0,"HS",22700,10.0301202034695
1,42,"White",0,"4+ years college",27000,10.2035921449865
0,80,"Other Asian or Pacific Islander",0,"No HS",13200,9.48797210857446
0,64,"White",0,"HS",52300,10.864751650053
0,33,"White",1,"No HS",6500,8.77955745588373
1,32,"White",0,"4+ years college",50000,10.8197782844103
0,57,"White",0,"HS",52000,10.8589989975636
0,72,"White",1,"4+ years college",46000,10.7363966754712
0,62,"Other race, nec",0,"4+ years college",160000,11.982929094216
1,43,"American Indian or Alaska Native",0,"Some college",18000,9.7981270368783
1,27,"Black/African American/Negro",0,"HS",12000,9.39266192877014
0,84,"White",0,"Some college",46400,10.7450547382143
1,67,"White",0,"4+ years college",17800,9.78695373628018
1,30,"Black/African American/Negro",0,"Some college",24400,10.1023384112813
0,59,"Black/African American/Negro",0,"Some HS",17900,9.79255599182885
1,60,"White",0,"HS",18000,9.7981270368783
0,47,"Other Asian or Pacific Islander",0,"Some HS",25000,10.1266311038503
0,42,"Black/African American/Negro",0,"HS",50000,10.8197782844103
0,42,"Two major races",0,"Some college",35300,10.4716382429214
1,23,"White",1,"4+ years college",44000,10.6919449129004
1,42,"White",0,"4+ years college",22000,9.99879773234045
0,49,"White",0,"Some college",12000,9.39266192877014
0,32,"White",1,"No HS",23000,10.0432494949113
1,46,"White",0,"4+ years college",60000,11.0020998412042
0,38,"White",0,"HS",25000,10.1266311038503
1,57,"White",0,"Some college",12400,9.42545175159313
1,21,"Black/African American/Negro",0,"Some college",2000,7.60090245954208
1,28,"Black/African American/Negro",0,"HS",28800,10.268130666124
1,66,"White",0,"HS",40300,10.6041067479348
1,61,"White",0,"Some HS",13000,9.47270463644367
0,60,"White",0,"Some college",30000,10.3089526606443
0,51,"White",0,"HS",20000,9.90348755253613
0,34,"White",0,"HS",30000,10.3089526606443
0,51,"White",0,"HS",24200,10.0941079121448
1,40,"White",1,"Some college",28000,10.2399597891573
0,83,"White",0,"HS",56700,10.9455294897158
1,44,"White",0,"Some college",42000,10.6454248972655
